University of New South Wales,Australia,AUSTRALIA,Sydney,Semester (Sem 2 ONLY),1,"1,480-3,520",1480,52,52,33,English,Max 4 modules per semester,http://www.unsw.edu.au/,http://www.kane.com.au/userfiles/image2/projects/size2/VU1.jpg,http://www.raineandhorne.com.au/content//agency_portal/images/public/19/16823819-167449924.jpg
University of Innsbruck,Europe,AUSTRIA,Innsbruck(?),Semester (need LOA for sem 1),1,"1,200-1,370",1200,289,289,-,German/English,-,http://www.uibk.ac.at/index.html.en,http://www.donau-uni.ac.at/imperia/md/images/donau_uni_allgemein/presse/bilder2005/campusinmotion/campusplatz_236x157.jpg,http://media.offexploring.co.uk/photos/maunomaailmalla/photos/170912011216-IMG_0469.JPG
University of Ottawa,America,CANADA,Ottawa,Semester(Deadline to apply by 1 Mar for both Sem 1 or 2),1,"1,070-1,540",1070,227,227,311,English/French,-,http://www.uottawa.ca/en,http://www.travellinksdirectory.com/links/imimages/22206.gif,https://sites.google.com/site/sourcepool/yale_law.jpg
Xi'an Jiaotong University,Asia,CHINA,Xi'an,Semester,1,384-653,384,372,372,124,Mostly Chinese,-,http://www.xjtu.edu.cn/en/,http://media02.tvtrip.no/partner/1/3/2/4/7/7/8/1324778.jpeg,http://www.glite.edu.cn/Git/GitInfo/XYPic/Pic/014.jpg
Xiamen University,Asia,CHINA,Xiamen,Semester,1,402-623,402,501-550,525,-,Mostly Chinese,-,http://www2012.xmu.edu.cn/english/index.asp,http://admissions.xmu.edu.cn/uploadfile/image/20140108/20140108085722_51871.jpg,http://gkcx.eol.cn/upload/2014051616291710095247928201.jpg
Tsinghua University,Asia,CHINA,Beijing,Semester,1,653-894,653,48,48,12,Chinese/English,Need to pass chinese test for chinese courses,http://www.tsinghua.edu.cn/publish/newthuen/index.html,http://cache.carlsonhotels.com/pkp/images/bcast_235x157/CHNBJNG.JPG,http://blog.ntou.edu.tw/oceannews/981202b.JPG
Zhejiang University,Asia,CHINA,Zhejiang,Semester,1,472-743,472,165,165,70,Mostly Chinese,-,http://www.zju.edu.cn/english/,http://www.hec-c.net/images/fujian-img.jpg,http://interface.ituji.cn/ituji/content/2012/05/10/12/35792304749584320120510123207/60920120510123309_1024x900.jpg
Shanghai Jiao Tong University,Asia,CHINA,Shanghai,Semester,1,342-553,342,123,123,35,Mostly Chinese,Refer to www.electsys.stju.edu.cn for english courses,http://en.sjtu.edu.cn/,http://img.4travel.jp/img/os_hotel_img/agoda/PEK/10120719.jpg,http://www.glite.edu.cn/Git/GitInfo/XYPic/Pic/017.jpg
Peking University,Asia,CHINA,Beijing,Semester,1,854,854,46,46,38,Mostly Chinese,Chinese proficiency test required else have to enrol in chinese courses,http://english.pku.edu.cn/,http://img.4travel.jp/img/os_hotel_img/agoda/PEK/10143608.jpg,http://upload.wikimedia.org/wikipedia/ja/7/72/Aomori_sports_center.jpg
Harbin Inst of Technology,Asia,CHINA,Harbin,Semester,2,352-452,352,491-500,495,106,Mostly Chinese,-,http://en.hit.edu.cn/,http://image.hotelpass.com/CNBJS4092.jpg,http://pccoo.cn/news/20130417/20130417232611145.jpg
